name,price,link
"HP 15s-fq4786TU Core i5 11th Gen 15.6"" FHD Laptop","71,300",https://www.startech.com.bd/hp-15s-fq4786tu-core-i5-11th-gen-laptop
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 8GB RAM 14"" FHD Laptop","71,500",https://www.startech.com.bd/asus-vivobook-14-x1402za-core-i3-12th-gen-laptop
"ASUS VivoBook X1402ZA-EB636W Core i3 12th Gen 14"" FHD Laptop","71,500",https://www.startech.com.bd/asus-vivobook-x1402za-eb636w-core-i3-12th-gen-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Flowers on Yellow","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-flowers-on-yellow
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Iris on Ruby","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-iris-on-ruby
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Paisley on Lilac","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-paisley-on-lilac
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Azure Blue","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-azure-blue
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Mountain Blue","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-mountain-blue
"HP 15s-eq3619AU Ryzen 5 5625U 15.6"" FHD Laptop","73,200",https://www.startech.com.bd/hp-15s-eq3619au-ryzen-5-5625u-laptop
"Realme Book Core i5 11th Gen 14"" 2k UHD Laptop","73,300",https://www.startech.com.bd/realme-book-core-i5-laptop
"Lenovo IdeaPad Slim 3i 15ITL6 Core i5 11th Gen 15.6"" FHD Laptop","73,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15itl6-core-i5-11th-gen-laptop
"Realme Book Prime Core i5 11th Gen 14"" 2K UHD Laptop","74,000",https://www.startech.com.bd/realme-book-prime-core-i5-laptop
"Lenovo IdeaPad Slim 3i Core i5 11th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-11th-gen-fhd-laptop
